,bus_stop_code,road_name,latitude,longitude,stop_description
0,481,Woodlands Rd,1.383764,103.7583,BT PANJANG TEMP BUS PK
1,1012,Victoria St,1.29684825487647,103.85253591654006,Hotel Grand Pacific
2,1013,Victoria St,1.29770970610083,103.8532247463225,St. Joseph's Ch
3,1019,Victoria St,1.2969895119133201,103.85302201172509,Bras Basah Cplx
4,1029,Nth Bridge Rd,1.2966729849642,103.8544142246427,Cosmic Insurance Bldg
5,1039,Nth Bridge Rd,1.29820784139683,103.85549139837408,Nth Bridge Commercial Cplx
6,1059,Victoria St,1.30075679526626,103.85611040457584,Bugis Stn Exit B
7,1109,Queen St,1.30358577565355,103.85650372998224,Queen St Ter
8,1112,Victoria St,1.30009212839081,103.85520027125814,Opp Bugis Junction
9,1113,Victoria St,1.30117297541547,103.8561140106393,Bugis Stn Exit A
10,1119,Victoria St,1.2996041093803998,103.85512934079573,Bugis Junction
11,1121,Victoria St,1.30393809691048,103.85867999243207,Stamford Pr Sch
12,1129,Victoria St,1.30350269187301,103.85864530718493,Opp Stamford Pr Sch
13,1139,Nth Bridge Rd,1.30033057855542,103.857160806659,Parkview Sq
14,1211,Victoria St,1.30551803523268,103.8605449516032,Opp Blk 461
15,1219,Victoria St,1.30526598535719,103.86072019914616,Blk 461
16,1229,Nth Bridge Rd,1.30337552638813,103.85963089198263,Bef Sultan Mque
17,1231,Jln Sultan,1.3032499999752,103.8610830559663,Opp Textile Ctr
18,1239,Jln Sultan,1.30291236608351,103.86161817611134,Sultan Plaza
19,1311,Kallang Rd,1.3070916463394,103.86219695240972,Lavender Stn Exit B
20,1319,Kallang Rd,1.30757426746418,103.86325596123476,Lavender Stn Exit A/ICA
21,1329,Nth Bridge Rd,1.30495670239172,103.86363028484124,Blk 8
22,1339,Crawford St,1.30774601733202,103.8642627465441,Bef Crawford Bridge
23,1341,Crawford St,1.3064755560057801,103.86452527798744,Southbank
24,1349,Crawford St,1.30568635716829,103.86543994417885,Opp Blk 4
25,1411,Beach Rd,1.30211332865049,103.86295598167332,Opp St. John HQ
26,1419,Beach Rd,1.3020199999911002,103.86326333301204,St. John HQ
27,1421,Beach Rd,1.30338444400173,103.8648388889864,Opp Golden Mile Cplx
28,1429,Beach Rd,1.3032136089394,103.86501584807765,Golden Mile Cplx
29,1511,Beach Rd,1.2991982610380701,103.85864518302436,Opp The Gateway
30,1519,Beach Rd,1.29907492488417,103.8589102973441,The Gateway
31,1521,Beach Rd,1.30088304437602,103.86066098182194,Opp Plaza Parkroyal
32,1529,Beach Rd,1.3004166767652598,103.86044115259938,Plaza Parkroyal
33,1541,Rochor Rd,1.2988646544225402,103.85734583628746,Bugis Stn Exit D
34,1549,Ophir Rd,1.30069868861162,103.85873120467069,Opp Duo Residences
35,1559,Ophir Rd,1.3016873107056202,103.85752923961614,Landmark Village Hotel
36,1611,Beach Rd,1.2952725917134198,103.85533686181174,Raffles Hotel
37,1619,Beach Rd,1.2942869417824598,103.8550380942423,Esplanade Stn Exit F
38,1621,Beach Rd,1.29695888888745,103.85655611109846,Opp Shaw Twrs
39,1629,Beach Rd,1.2969597221995801,103.85686527780176,Shaw Twrs
40,1631,Middle Rd,1.29693614589482,103.85580555528077,Aft Beach Rd
41,1639,Middle Rd,1.29738750001468,103.85557583297623,Bef Beach Rd
42,2029,Connaught Dr,1.2887901514247602,103.85293318066765,Opp S'pore Cricket Club
43,2049,Bras Basah Rd,1.29452091230981,103.85402155505173,Raffles Hotel
44,2051,Raffles Ave,1.2895030556081999,103.85903388899315,Seating Gallery
45,2061,Raffles Ave,1.2899638888957,103.85640388886263,The Esplanade
46,2089,Raffles Blvd,1.2915269444497501,103.85920611105041,Pan Pacific Hotel
47,2099,Raffles Blvd,1.29147264805943,103.86148558380779,Marina Ctr Ter
48,2101,Raffles Ave,1.28938483786533,103.86183148116275,AFT S'PORE FLYER
49,2111,Esplanade Dr,1.2909559234838899,103.85453419435228,Esplanade Bridge
50,2119,Nicoll Highway,1.29184407356581,103.85534334305085,Opp War Memorial Pk
51,2141,Temasek Blvd,1.2957657160303702,103.85933814632858,Suntec Twr Two
52,2149,Temasek Blvd,1.29560459817725,103.85955533029184,Suntec Twr Three
53,2151,Temasek Blvd,1.2931777632081398,103.85784623004032,Suntec Convention Ctr
54,2159,Temasek Blvd,1.29360811227161,103.85840672828637,Opp Suntec Convention Ctr
55,2161,Temasek Ave,1.29268553508737,103.86093156188177,Promenade Stn
56,2169,Temasek Ave,1.2933383678058898,103.86070849052751,Promenade Stn Exit B
57,2171,Temasek Ave,1.2907000000389799,103.86092194446033,Opp The Ritz-Carlton
58,2181,Parliament Pl,1.28947444402148,103.85098166700016,Supreme Ct
59,3011,Fullerton Rd,1.28561840945474,103.85342223246427,Fullerton Sq
60,3019,Collyer Quay,1.2842450000130001,103.853108055996,OUE Bayfront
61,3021,Cecil St,1.28255524603003,103.84998903789257,Prudential Twr
62,3031,Robinson Rd,1.28207492207952,103.85086074925066,Raffles Pl Stn Exit F
63,3041,Cross St,1.2817950939470701,103.84893207391676,Telok Ayer Stn Exit A
64,3059,Raffles Quay,1.28097649556002,103.85135652579493,One Raffles Quay
65,3071,Robinson Rd,1.2799060962676398,103.84940030424481,OPP SO SOFITEL S'PORE
66,3111,Robinson Rd,1.2778259536078997,103.8481011719729,Aft Capital Twr
67,3129,Shenton Way,1.27807003532092,103.84956718123823,UIC Bldg
68,3151,Cecil St,1.27892124625262,103.84776234627122,Opp GB Bldg
69,3217,Shenton Way,1.2755221889764499,103.84794436749159,Opp AXA Twr
70,3218,Shenton Way,1.2740788888386998,103.84687388890413,Opp MAS Bldg
71,3222,Anson Rd,1.27397836925637,103.84489562922415,Hub Synergy Pt
72,3223,Anson Rd,1.2757033952327,103.84632468221952,Tanjong Pagar Stn Exit C
73,3239,Shenton Way,1.27464226961973,103.84756721372408,Shenton Way Ter
74,3241,Anson Rd,1.2745600000000001,103.84536999999999,Mapletree Anson
75,3331,Marina Blvd,1.27663307202767,103.86076808024792,Bef Marina Gdns Dr
76,3339,Central Blvd,1.27498516412784,103.85950016250489,Aft Marina Gdns Dr
77,3341,Marina Gdns Dr,1.27959780011944,103.86433768440821,Bef Gdns by the Bay
78,3349,Marina Gdns Dr,1.2796560060992301,103.86477807955521,Aft Gdns by the Bay
79,3369,Marina Gdns Dr,1.2796077206195902,103.8698744774074,Marina Barrage
80,3371,Marina Gdns Dr,1.2806647930346102,103.86626955523418,Gdns by the Bay
81,3381,Marina Blvd,1.28162601329006,103.85306513725685,The Sail
82,3391,Marina Blvd,1.28037660340352,103.85498006767988,Marina Bay Financial Ctr
83,3411,Marina Coastal Dr,1.27159299884076,103.86300900488227,Opp Marina Sth Pier
84,3419,Marina Coastal Dr,1.27127698470973,103.86297693157816,Marina Sth Pier
